instanceID	label	comment	annotator
pair_0_(Job 1:1)	1	gold_annotator
pair_2_(Job 1:1)	4	gold_annotator
pair_1_(Job 1:1)	1	gold_annotator
pair_0_(Zechariah 10:1)	3	gold_annotator
pair_1_(Zechariah 10:1)	2	gold_annotator
pair_2_(Zechariah 10:1)	2	gold_annotator
pair_0_(1 Peter 4:7)	2	gold_annotator
pair_1_(1 Peter 4:7)	4	gold_annotator
pair_2_(1 Peter 4:7)	2	gold_annotator
pair_0_(Luke 24:15)	4	gold_annotator
pair_1_(Luke 24:15)	1	gold_annotator
pair_2_(Luke 24:15)	3	gold_annotator
pair_0_(Matthew 5:9)	1	gold_annotator
pair_1_(Matthew 5:9)	4	gold_annotator
pair_2_(Matthew 5:9)	2	gold_annotator
pair_0_(Proverbs 1:8)	3	gold_annotator
pair_1_(Proverbs 1:8)	3	gold_annotator
pair_2_(Proverbs 1:8)	3	gold_annotator
pair_0_(Revelation 12:3)	4	gold_annotator
pair_0_(Song of songs 8:6)	1	gold_annotator
pair_1_(Song of songs 8:6)	1	gold_annotator
