identifier1	identifier2	annotator	judgment	comment	lemma	timestamp
8_(1 Timothy 2:12)-c2	4_(1 Timothy 2:12)-c2	iosakwe	0.34645384121067324		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
7_(1 Timothy 2:12)-c1	4_(1 Timothy 2:12)-c2	iosakwe	0.34645384121067324		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
11_(1 Timothy 2:12)-c2	4_(1 Timothy 2:12)-c2	iosakwe	0.34645384121067324		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
10_(1 Timothy 2:12)-c2	4_(1 Timothy 2:12)-c2	iosakwe	0.34645384121067324		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
0_(1 Timothy 2:12)-c1	4_(1 Timothy 2:12)-c2	iosakwe	0.34645384121067324		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
8_(1 Timothy 2:12)-c2	7_(1 Timothy 2:12)-c2	iosakwe	1.2654682410537221		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
9_(1 Timothy 2:12)-c2	7_(1 Timothy 2:12)-c2	iosakwe	1.2654682410537221		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
4_(1 Timothy 2:12)-c1	7_(1 Timothy 2:12)-c2	iosakwe	1.2654682410537221		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
3_(1 Timothy 2:12)-c1	7_(1 Timothy 2:12)-c2	iosakwe	0.34645384121067324		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
8_(1 Timothy 2:12)-c2	2_(1 Timothy 2:12)-c2	iosakwe	-0.5725605586323758		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
0_(1 Timothy 2:12)-c2	2_(1 Timothy 2:12)-c2	iosakwe	-0.5725605586323758		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
8_(1 Timothy 2:12)-c2	8_(1 Timothy 2:12)-c1	iosakwe	1.2654682410537221		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
0_(1 Timothy 2:12)-c2	8_(1 Timothy 2:12)-c1	iosakwe	0.34645384121067324		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
11_(1 Timothy 2:12)-c1	8_(1 Timothy 2:12)-c1	iosakwe	1.2654682410537221		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
5_(1 Timothy 2:12)-c1	8_(1 Timothy 2:12)-c1	iosakwe	1.2654682410537221		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
8_(1 Timothy 2:12)-c2	1_(1 Timothy 2:12)-c1	iosakwe	1.2654682410537221		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
2_(1 Timothy 2:12)-c2	1_(1 Timothy 2:12)-c1	iosakwe	-0.5725605586323758		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
9_(1 Timothy 2:12)-c2	1_(1 Timothy 2:12)-c1	iosakwe	1.2654682410537221		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
7_(1 Timothy 2:12)-c1	1_(1 Timothy 2:12)-c1	iosakwe	1.2654682410537221		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
0_(1 Timothy 2:12)-c2	1_(1 Timothy 2:12)-c1	iosakwe	-0.5725605586323758		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
5_(1 Timothy 2:12)-c2	1_(1 Timothy 2:12)-c1	iosakwe	1.2654682410537221		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
11_(1 Timothy 2:12)-c1	1_(1 Timothy 2:12)-c1	iosakwe	0.34645384121067324		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
3_(1 Timothy 2:12)-c2	1_(1 Timothy 2:12)-c1	iosakwe	0.34645384121067324		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
14_(1 Timothy 2:12)-c1	1_(1 Timothy 2:12)-c1	iosakwe	-0.5725605586323758		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
8_(1 Timothy 2:12)-c2	13_(1 Timothy 2:12)-c1	iosakwe	1.2654682410537221		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
2_(1 Timothy 2:12)-c2	13_(1 Timothy 2:12)-c1	iosakwe	-0.5725605586323758		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
13_(1 Timothy 2:12)-c2	13_(1 Timothy 2:12)-c1	iosakwe	0.34645384121067324		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
0_(1 Timothy 2:12)-c2	13_(1 Timothy 2:12)-c1	iosakwe	0.34645384121067324		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
6_(1 Timothy 2:12)-c2	13_(1 Timothy 2:12)-c1	iosakwe	1.2654682410537221		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
11_(1 Timothy 2:12)-c2	13_(1 Timothy 2:12)-c1	iosakwe	1.2654682410537221		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
1_(1 Timothy 2:12)-c1	13_(1 Timothy 2:12)-c1	iosakwe	-0.5725605586323758		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
9_(1 Timothy 2:12)-c1	13_(1 Timothy 2:12)-c1	iosakwe	1.2654682410537221		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
0_(1 Timothy 2:12)-c1	13_(1 Timothy 2:12)-c1	iosakwe	0.34645384121067324		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
12_(1 Timothy 2:12)-c2	13_(1 Timothy 2:12)-c1	iosakwe	1.2654682410537221		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
11_(1 Timothy 2:12)-c1	13_(1 Timothy 2:12)-c1	iosakwe	1.2654682410537221		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
1_(1 Timothy 2:12)-c2	13_(1 Timothy 2:12)-c1	iosakwe	1.2654682410537221		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
3_(1 Timothy 2:12)-c1	13_(1 Timothy 2:12)-c1	iosakwe	-0.5725605586323758		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
4_(1 Timothy 2:12)-c2	13_(1 Timothy 2:12)-c1	iosakwe	-0.5725605586323758		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
8_(1 Timothy 2:12)-c2	3_(1 Timothy 2:12)-c2	iosakwe	-0.5725605586323758		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
6_(1 Timothy 2:12)-c2	3_(1 Timothy 2:12)-c2	iosakwe	0.34645384121067324		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
0_(1 Timothy 2:12)-c1	3_(1 Timothy 2:12)-c2	iosakwe	-0.5725605586323758		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
11_(1 Timothy 2:12)-c1	3_(1 Timothy 2:12)-c2	iosakwe	1.2654682410537221		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
8_(1 Timothy 2:12)-c2	1_(1 Timothy 2:12)-c2	iosakwe	0.34645384121067324		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
4_(1 Timothy 2:12)-c1	1_(1 Timothy 2:12)-c2	iosakwe	0.34645384121067324		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
12_(1 Timothy 2:12)-c2	1_(1 Timothy 2:12)-c2	iosakwe	0.34645384121067324		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
2_(1 Timothy 2:12)-c2	5_(1 Timothy 2:12)-c1	iosakwe	1.2654682410537221		But_I_suffer_not_a_woman_to_teach_nor_to_usurp_authority	
