identifier1	identifier2	annotator	judgment	comment	lemma	timestamp
424_(Proverbs 12:25)-c1	428_(Proverbs 12:25)-c2	AndreaMariaC	-0.609858905356672		Anxiety_weighs_down_the_heart_but_a_kind_word_cheers_it_up	
427_(Proverbs 12:25)-c1	428_(Proverbs 12:25)-c2	AndreaMariaC	0.7731904480439878		Anxiety_weighs_down_the_heart_but_a_kind_word_cheers_it_up	
424_(Proverbs 12:25)-c2	428_(Proverbs 12:25)-c2	AndreaMariaC	0.7731904480439878		Anxiety_weighs_down_the_heart_but_a_kind_word_cheers_it_up	
431_(Proverbs 12:25)-c1	428_(Proverbs 12:25)-c2	AndreaMariaC	0.7731904480439878		Anxiety_weighs_down_the_heart_but_a_kind_word_cheers_it_up	
423_(Proverbs 12:25)-c2	428_(Proverbs 12:25)-c2	AndreaMariaC	0.7731904480439878		Anxiety_weighs_down_the_heart_but_a_kind_word_cheers_it_up	
434_(Proverbs 12:25)-c1	428_(Proverbs 12:25)-c2	AndreaMariaC	0.7731904480439878		Anxiety_weighs_down_the_heart_but_a_kind_word_cheers_it_up	
425_(Proverbs 12:25)-c1	428_(Proverbs 12:25)-c2	AndreaMariaC	0.7731904480439878		Anxiety_weighs_down_the_heart_but_a_kind_word_cheers_it_up	
435_(Proverbs 12:25)-c2	428_(Proverbs 12:25)-c2	AndreaMariaC	0.7731904480439878		Anxiety_weighs_down_the_heart_but_a_kind_word_cheers_it_up	
424_(Proverbs 12:25)-c1	430_(Proverbs 12:25)-c1	AndreaMariaC	0.7731904480439878		Anxiety_weighs_down_the_heart_but_a_kind_word_cheers_it_up	
427_(Proverbs 12:25)-c1	430_(Proverbs 12:25)-c1	AndreaMariaC	0.7731904480439878		Anxiety_weighs_down_the_heart_but_a_kind_word_cheers_it_up	
423_(Proverbs 12:25)-c1	430_(Proverbs 12:25)-c1	AndreaMariaC	-0.609858905356672		Anxiety_weighs_down_the_heart_but_a_kind_word_cheers_it_up	
