identifier1	identifier2	annotator	judgment	comment	lemma	timestamp
90_(Exodus 20:3)-c1	103_(Exodus 20:3)-c1	AndreaMariaC	-0.609858905356672		You_shall_have_no_other_gods_before_me	
94_(Exodus 20:3)-c1	103_(Exodus 20:3)-c1	AndreaMariaC	-0.609858905356672		You_shall_have_no_other_gods_before_me	
92_(Exodus 20:3)-c1	103_(Exodus 20:3)-c1	AndreaMariaC	-0.609858905356672		You_shall_have_no_other_gods_before_me	
103_(Exodus 20:3)-c2	103_(Exodus 20:3)-c1	AndreaMariaC	-0.609858905356672		You_shall_have_no_other_gods_before_me	
99_(Exodus 20:3)-c1	103_(Exodus 20:3)-c1	AndreaMariaC	-0.609858905356672		You_shall_have_no_other_gods_before_me	
93_(Exodus 20:3)-c2	103_(Exodus 20:3)-c1	AndreaMariaC	-0.609858905356672		You_shall_have_no_other_gods_before_me	
101_(Exodus 20:3)-c1	103_(Exodus 20:3)-c1	AndreaMariaC	-0.609858905356672		You_shall_have_no_other_gods_before_me	
100_(Exodus 20:3)-c1	103_(Exodus 20:3)-c1	AndreaMariaC	-0.609858905356672		You_shall_have_no_other_gods_before_me	
95_(Exodus 20:3)-c2	103_(Exodus 20:3)-c1	AndreaMariaC	-0.609858905356672		You_shall_have_no_other_gods_before_me	
90_(Exodus 20:3)-c1	98_(Exodus 20:3)-c2	AndreaMariaC	-0.609858905356672		You_shall_have_no_other_gods_before_me	
99_(Exodus 20:3)-c2	98_(Exodus 20:3)-c2	AndreaMariaC	-0.609858905356672		You_shall_have_no_other_gods_before_me	
99_(Exodus 20:3)-c1	98_(Exodus 20:3)-c2	AndreaMariaC	-0.609858905356672		You_shall_have_no_other_gods_before_me	
93_(Exodus 20:3)-c2	98_(Exodus 20:3)-c2	AndreaMariaC	-1.9929082587573317		You_shall_have_no_other_gods_before_me	
98_(Exodus 20:3)-c1	98_(Exodus 20:3)-c2	AndreaMariaC	-0.609858905356672		You_shall_have_no_other_gods_before_me	
100_(Exodus 20:3)-c1	98_(Exodus 20:3)-c2	AndreaMariaC	-0.609858905356672		You_shall_have_no_other_gods_before_me	
91_(Exodus 20:3)-c1	98_(Exodus 20:3)-c2	AndreaMariaC	-0.609858905356672		You_shall_have_no_other_gods_before_me	
90_(Exodus 20:3)-c1	104_(Exodus 20:3)-c2	AndreaMariaC	-0.609858905356672		You_shall_have_no_other_gods_before_me	
102_(Exodus 20:3)-c1	104_(Exodus 20:3)-c2	AndreaMariaC	-0.609858905356672		You_shall_have_no_other_gods_before_me	
92_(Exodus 20:3)-c2	104_(Exodus 20:3)-c2	AndreaMariaC	0.7731904480439878		You_shall_have_no_other_gods_before_me	
92_(Exodus 20:3)-c1	104_(Exodus 20:3)-c2	AndreaMariaC	-0.609858905356672		You_shall_have_no_other_gods_before_me	
