identifier1	identifier2	annotator	judgment	comment	lemma	timestamp
299_(Matthew 7:7)-c2	292_(Matthew 7:7)-c2	AndreaMariaC	-0.609858905356672		Seek_and_you_will_find	
289_(Matthew 7:7)-c2	292_(Matthew 7:7)-c2	AndreaMariaC	0.7731904480439878		Seek_and_you_will_find	
294_(Matthew 7:7)-c1	292_(Matthew 7:7)-c2	AndreaMariaC	-1.9929082587573317		Seek_and_you_will_find	
285_(Matthew 7:7)-c2	292_(Matthew 7:7)-c2	AndreaMariaC	-1.9929082587573317		Seek_and_you_will_find	
294_(Matthew 7:7)-c2	292_(Matthew 7:7)-c2	AndreaMariaC	-0.609858905356672		Seek_and_you_will_find	
296_(Matthew 7:7)-c2	292_(Matthew 7:7)-c2	AndreaMariaC	0.7731904480439878		Seek_and_you_will_find	
299_(Matthew 7:7)-c2	297_(Matthew 7:7)-c2	AndreaMariaC	0.7731904480439878		Seek_and_you_will_find	
300_(Matthew 7:7)-c1	297_(Matthew 7:7)-c2	AndreaMariaC	-1.9929082587573317		Seek_and_you_will_find	
289_(Matthew 7:7)-c1	297_(Matthew 7:7)-c2	AndreaMariaC	-0.609858905356672		Seek_and_you_will_find	
298_(Matthew 7:7)-c1	297_(Matthew 7:7)-c2	AndreaMariaC	-0.609858905356672		Seek_and_you_will_find	
300_(Matthew 7:7)-c2	297_(Matthew 7:7)-c2	AndreaMariaC	0.7731904480439878		Seek_and_you_will_find	
294_(Matthew 7:7)-c2	297_(Matthew 7:7)-c2	AndreaMariaC	-0.609858905356672		Seek_and_you_will_find	
296_(Matthew 7:7)-c2	297_(Matthew 7:7)-c2	AndreaMariaC	-0.609858905356672		Seek_and_you_will_find	
292_(Matthew 7:7)-c1	297_(Matthew 7:7)-c2	AndreaMariaC	-0.609858905356672		Seek_and_you_will_find	
287_(Matthew 7:7)-c2	297_(Matthew 7:7)-c2	AndreaMariaC	0.7731904480439878		Seek_and_you_will_find	
290_(Matthew 7:7)-c2	297_(Matthew 7:7)-c2	AndreaMariaC	-1.9929082587573317		Seek_and_you_will_find	
293_(Matthew 7:7)-c2	297_(Matthew 7:7)-c2	AndreaMariaC	0.7731904480439878		Seek_and_you_will_find	
299_(Matthew 7:7)-c2	294_(Matthew 7:7)-c2	AndreaMariaC	-0.609858905356672		Seek_and_you_will_find	
291_(Matthew 7:7)-c2	294_(Matthew 7:7)-c2	AndreaMariaC	-0.609858905356672		Seek_and_you_will_find	
294_(Matthew 7:7)-c1	294_(Matthew 7:7)-c2	AndreaMariaC	-0.609858905356672		Seek_and_you_will_find	
290_(Matthew 7:7)-c1	294_(Matthew 7:7)-c2	AndreaMariaC	0.7731904480439878		Seek_and_you_will_find	
300_(Matthew 7:7)-c2	294_(Matthew 7:7)-c2	AndreaMariaC	-1.9929082587573317		Seek_and_you_will_find	
296_(Matthew 7:7)-c2	294_(Matthew 7:7)-c2	AndreaMariaC	-0.609858905356672		Seek_and_you_will_find	
296_(Matthew 7:7)-c1	294_(Matthew 7:7)-c2	AndreaMariaC	-0.609858905356672		Seek_and_you_will_find	
299_(Matthew 7:7)-c2	285_(Matthew 7:7)-c1	AndreaMariaC	-1.9929082587573317		Seek_and_you_will_find	
286_(Matthew 7:7)-c1	285_(Matthew 7:7)-c1	AndreaMariaC	0.7731904480439878		Seek_and_you_will_find	
